id,address,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
1470711340209,"243 West 54th Street, New York, NY 10019",40.764498,-73.983298,1,rooftop,"243 W 54th St",,"New York, NY 10019",243,"W 54th St",,,"New York",NY,"New York County",10019,US,"City of New York"
1975603814190,"449 Nostrand Avenue #2nd flr, Brooklyn, NY 11216",40.682023,-73.949766,1,rooftop,"449 Nostrand Ave","# 2","Brooklyn, NY 11216",449,"Nostrand Ave",#,2,Brooklyn,NY,"Kings County",11216,US,"City of New York"
1640869628229,"1313 Willow Avenue, Hoboken, NJ 07030",40.753262,-74.02947,1,rooftop,"1313 Willow Ave",,"Hoboken, NJ 07030",1313,"Willow Ave",,,Hoboken,NJ,"Hudson County",07030,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
1732691730609,"346 West 40th Street, New York, NY 10018",40.756764,-73.992904,1,rooftop,"346 W 40th St",,"New York, NY 10018",346,"W 40th St",,,"New York",NY,"New York County",10018,US,"City of New York"
1975189408692,"34-14 Broadway, astoria, NY 11106",40.76053,-73.922585,1,rooftop,"34-14 Broadway",,"Astoria, NY 11106",34-14,Broadway,,,Astoria,NY,"Queens County",11106,US,"City of New York"
1977187088807,"431 West 16th Street, New York, NY 10011",40.742941,-74.005691,1,rooftop,"431 W 16th St",,"New York, NY 10011",431,"W 16th St",,,"New York",NY,"New York County",10011,US,"City of New York"
1975838804051,"251 West 48th Street, New York, NY 10036",40.760986,-73.98662,1,rooftop,"251 W 48th St",,"New York, NY 10036",251,"W 48th St",,,"New York",NY,"New York County",10036,US,"City of New York"
810734126597,"101 73rd Street Unit 54, North Bergen, NJ 07047",40.794315,-74.002337,1,rooftop,"101 73rd St","Apt 54","North Bergen, NJ 07047",101,"73rd St",Apt,54,"North Bergen",NJ,"Hudson County",07047,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
1968183311266,"150 West 25th Street #8th floor, New York, NY 10001",40.744907,-73.993801,1,rooftop,"150 W 25th St","Fl 8","New York, NY 10001",150,"W 25th St",Fl,8,"New York",NY,"New York County",10001,US,"City of New York"
1977306130865,"53 West 39th Street #floor 2, New York, NY 10018",40.752168,-73.983643,1,range_interpolation,"53 W 39th St","Fl 2","New York, NY 10018",53,"W 39th St",Fl,2,"New York",NY,"New York County",10018,US,"TIGER/Line® from the US Census Bureau"
1976083875065,"277 County Road 618, Jersey City, NJ 07302",40.77229,-74.065319,0.89,range_interpolation,"277 County Ave",618,"Secaucus, NJ 07094",277,"County Ave",,618,Secaucus,NJ,"Hudson County",07094,US,"TIGER/Line® from the US Census Bureau"
1370636864759,"177 Vanderbilt Avenue, Brooklyn, NY 11205",40.692639,-73.969568,1,rooftop,"177 Vanderbilt Ave",,"Brooklyn, NY 11205",177,"Vanderbilt Ave",,,Brooklyn,NY,"Kings County",11205,US,"City of New York"
1770799060659,"Manhattan, New York, NY 10019",40.588063,-73.966443,0.9,street_center,"Manhattan Ct",,"Brooklyn, NY 11223",,"Manhattan Ct",,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
1976414383625,"151 Mulberry Street, New York, NY 10013",40.719098,-73.997526,1,rooftop,"151 Mulberry St",,"New York, NY 10013",151,"Mulberry St",,,"New York",NY,"New York County",10013,US,"City of New York"
1548505394319,"38-15 23rd Avenue, Queens, NY 11105",40.771364,-73.90838,1,rooftop,"38-15 23rd Ave",,"Astoria, NY 11105",38-15,"23rd Ave",,,Astoria,NY,"Queens County",11105,US,"City of New York"
1704341193389,"325 West 38th Street #suite 1405, New York, NY 10018",40.75532,-73.992793,1,rooftop,"325 W 38th St","Rm 1405","New York, NY 10018",325,"W 38th St",Rm,1405,"New York",NY,"New York County",10018,US,"City of New York"
1977226963072,"339 9th Street, Brooklyn, NY 11215",40.668791,-73.985126,1,rooftop,"339 9th St",,"Brooklyn, NY 11215",339,"9th St",,,Brooklyn,NY,"Kings County",11215,US,"City of New York"
1977416163977,"113 West 24th Street, New York, NY 10001",40.744017,-73.992985,1,rooftop,"113 W 24th St",,"New York, NY 10011",113,"W 24th St",,,"New York",NY,"New York County",10011,US,"City of New York"
1830775983249,"40-06 Astoria Boulevard South, Queens, NY 11103",40.768698,-73.910606,1,rooftop,"40-6 Astoria Blvd",,"Astoria, NY 11102",40-6,"Astoria Blvd",,,Astoria,NY,"Queens County",11102,US,"City of New York"
1096555169029,"299 South Street, New York, NY 10002",40.710191,-73.986055,1,rooftop,"299 South St",,"New York, NY 10002",299,"South St",,,"New York",NY,"New York County",10002,US,"City of New York"
1738781114119,"212 Beach 116th Street, Queens, NY 11694",40.579275,-73.836534,1,range_interpolation,"212 Beach 116th St",,"Rockaway Park, NY 11694",212,"Beach 116th St",,,"Rockaway Park",NY,"Queens County",11694,US,"TIGER/Line® from the US Census Bureau"
1685767699569,"1601 Broadway #11th floor, New York, NY 10019",40.760456,-73.98481,1,range_interpolation,"1601 Broadway","Fl 11L","New York, NY 10019",1601,Broadway,Fl,11L,"New York",NY,"New York County",10019,US,"TIGER/Line® from the US Census Bureau"
1847291170619,"265 Graham Avenue, Brooklyn, NY 11206",40.711221,-73.943999,1,rooftop,"265 Graham Ave",,"Brooklyn, NY 11206",265,"Graham Ave",,,Brooklyn,NY,"Kings County",11206,US,"City of New York"
1228944047729,"92 Ludlow Street, New York, NY 10002",40.718433,-73.989088,1,rooftop,"92 Ludlow St",,"New York, NY 10002",92,"Ludlow St",,,"New York",NY,"New York County",10002,US,"City of New York"
1657742856509,"210 Alexander Avenue, The Bronx, NY 10454",40.809224,-73.925528,1,rooftop,"210 Alexander Ave",,"Bronx, NY 10454",210,"Alexander Ave",,,Bronx,NY,"Bronx County",10454,US,"City of New York"
1977156958687,"1412 Nostrand Avenue, Brooklyn, NY 11226",40.652013,-73.949856,1,rooftop,"1412 Nostrand Ave",,"Brooklyn, NY 11226",1412,"Nostrand Ave",,,Brooklyn,NY,"Kings County",11226,US,"City of New York"
1966098934840,"480 10th Avenue, New York, NY 10018",40.756313,-73.997651,1,rooftop,"480 10th Ave",,"New York, NY 10018",480,"10th Ave",,,"New York",NY,"New York County",10018,US,"City of New York"
1974480821288,"669 8th Avenue, New York, NY 10036",40.757647,-73.98972,1,rooftop,"669 8th Ave",,"New York, NY 10036",669,"8th Ave",,,"New York",NY,"New York County",10036,US,"City of New York"
1407745196779,"247 Eldridge Street, New York, NY 10002",40.722816,-73.9897,1,rooftop,"247 Eldridge St",,"New York, NY 10002",247,"Eldridge St",,,"New York",NY,"New York County",10002,US,"City of New York"
1231611626529,"35 West 35th Street 12th Floor, New York, NY 10001",40.749919,-73.985753,1,rooftop,"35 W 35th St","Fl 12","New York, NY 10001",35,"W 35th St",Fl,12,"New York",NY,"New York County",10001,US,"City of New York"
1976346410315,"74 Maple Street, Jersey City, NJ 07304",40.712069,-74.058464,1,rooftop,"74 Maple St",,"Jersey City, NJ 07304",74,"Maple St",,,"Jersey City",NJ,"Hudson County",07304,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
1977084292340,"910 Morris Avenue, The Bronx, NY 10451",40.826635,-73.917695,1,rooftop,"910 Morris Ave",,"Bronx, NY 10451",910,"Morris Ave",,,Bronx,NY,"Bronx County",10451,US,"City of New York"
1977270630683,"302 East 12th Street, New York, NY 10003",40.730732,-73.985459,1,rooftop,"302 E 12th St",,"New York, NY 10003",302,"E 12th St",,,"New York",NY,"New York County",10003,US,"City of New York"
1976957287465,"302 East 12th Street, New York, NY 10003",40.730732,-73.985459,1,rooftop,"302 E 12th St",,"New York, NY 10003",302,"E 12th St",,,"New York",NY,"New York County",10003,US,"City of New York"
1770944375299,"NYC, NY 10013",40.722105,-74.003497,1,place,,,"New York, NY 10013",,,,,"New York",NY,"New York County",10013,US,"TIGER/Line® dataset from the US Census Bureau"
1966106851519,"101 Wyckoff Avenue, Brooklyn, NY 11237",40.70472,-73.919651,1,rooftop,"101 Wyckoff Ave",,"Brooklyn, NY 11237",101,"Wyckoff Ave",,,Brooklyn,NY,"Kings County",11237,US,"City of New York"
1967216048156,"10 Wilson Avenue, Newark, NJ 07105",40.727571,-74.155563,1,rooftop,"10 Wilson Ave",,"Newark, NJ 07105",10,"Wilson Ave",,,Newark,NJ,"Essex County",07105,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
1608110926069,"10-34 44th Drive, Queens, NY 11101",40.748572,-73.950502,1,rooftop,"10-34 44th Dr",,"Long Island City, NY 11101",10-34,"44th Dr",,,"Long Island City",NY,"Queens County",11101,US,"City of New York"
1141235107929,"12 Saint Marks Place, New York, NY 10003",40.729131,-73.989225,1,rooftop,"12 St Marks Pl",,"New York, NY 10003",12,"St Marks Pl",,,"New York",NY,"New York County",10003,US,"City of New York"
1195462864609,"1887 3rd Avenue, New York, NY 10029",40.790421,-73.945304,1,rooftop,"1887 3rd Ave",,"New York, NY 10029",1887,"3rd Ave",,,"New York",NY,"New York County",10029,US,"City of New York"
1224770855599,"113 Ludlow Street, New York, NY 10002",40.719464,-73.98879,1,rooftop,"113 Ludlow St",,"New York, NY 10002",113,"Ludlow St",,,"New York",NY,"New York County",10002,US,"City of New York"
1748451669009,"New York, NY 10004",40.68863,-74.018244,1,place,,,"New York, NY 10004",,,,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
1280786309329,"53 Bruckner Blvd, Bronx, NY 10456",40.806695,-73.92673,1,rooftop,"53 Bruckner Blvd",,"Bronx, NY 10454",53,"Bruckner Blvd",,,Bronx,NY,"Bronx County",10454,US,"City of New York"
1716759557049,"93 Halsey Street, Newark, NJ 07102",40.739462,-74.172398,1,rooftop,"93 Halsey St",,"Newark, NJ 07102",93,"Halsey St",,,Newark,NJ,"Essex County",07102,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
1721146327999,"New York, NY 10002",40.718758,-73.986427,1,place,,,"New York, NY 10002",,,,,"New York",NY,"New York County",10002,US,"TIGER/Line® dataset from the US Census Bureau"
1966930443906,"5 Hudson Street, New York, NY 10013",40.715793,-74.009379,1,range_interpolation,"5 Hudson St",,"New York, NY 10013",5,"Hudson St",,,"New York",NY,"New York County",10013,US,"TIGER/Line® from the US Census Bureau"
