id,address,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
0,"824 Alabama Ave, Brooklyn, NY",40.656155,-73.892465,1,range_interpolation,"824 Alabama Ave",,"Brooklyn, NY 11207",824,"Alabama Ave",,,Brooklyn,NY,"Kings County",11207,US,"TIGER/Line® from the US Census Bureau"
1,"Polygon Brooklyn, Brooklyn, NY",40.637626,-73.943604,0.93,street_center,"Brooklyn Rd",,"Brooklyn, NY 11210",,"Brooklyn Rd",,,Brooklyn,NY,"Kings County",11210,US,"TIGER/Line® dataset from the US Census Bureau"
2,"SOB's, New York, NY",40.586225,-73.925376,0.66,street_center,"Seba Ave",,"Brooklyn, NY 11229",,"Seba Ave",,,Brooklyn,NY,"Kings County",11229,US,"TIGER/Line® dataset from the US Census Bureau"
3,"Elsewhere - The Hall, Brooklyn, NY",40.69232,-73.965688,0.93,street_center,"Hall St",,"Brooklyn, NY 11205",,"Hall St",,,Brooklyn,NY,"Kings County",11205,US,"TIGER/Line® dataset from the US Census Bureau"
4,"The Chocolate Factory, Brooklyn, NY",40.694481,-73.989319,1,place,,,"Brooklyn, NY 11201",,,,,Brooklyn,NY,"Kings County",11201,US,"TIGER/Line® dataset from the US Census Bureau"
5,"PRIME143BK, Brooklyn, NY",40.694481,-73.989319,1,place,,,"Brooklyn, NY 11201",,,,,Brooklyn,NY,"Kings County",11201,US,"TIGER/Line® dataset from the US Census Bureau"
6,"SOB's, New York, NY",40.586225,-73.925376,0.66,street_center,"Seba Ave",,"Brooklyn, NY 11229",,"Seba Ave",,,Brooklyn,NY,"Kings County",11229,US,"TIGER/Line® dataset from the US Census Bureau"
7,"Elsewhere - The Hall, Brooklyn, NY",40.69232,-73.965688,0.93,street_center,"Hall St",,"Brooklyn, NY 11205",,"Hall St",,,Brooklyn,NY,"Kings County",11205,US,"TIGER/Line® dataset from the US Census Bureau"
8,"SOB's, New York, NY",40.586225,-73.925376,0.66,street_center,"Seba Ave",,"Brooklyn, NY 11229",,"Seba Ave",,,Brooklyn,NY,"Kings County",11229,US,"TIGER/Line® dataset from the US Census Bureau"
9,"276 Belmont Ave, Brooklyn, NY",40.669918,-73.899741,1,rooftop,"276 Belmont Ave",,"Brooklyn, NY 11207",276,"Belmont Ave",,,Brooklyn,NY,"Kings County",11207,US,"City of New York"
10,"Musica Club NYC, New York, NY",40.714477,-73.999195,0.85,street_center,"Mosco St",,"New York, NY 10013",,"Mosco St",,,"New York",NY,"New York County",10013,US,"TIGER/Line® dataset from the US Census Bureau"
11,"Elsewhere - The Hall, Brooklyn, NY",40.69232,-73.965688,0.93,street_center,"Hall St",,"Brooklyn, NY 11205",,"Hall St",,,Brooklyn,NY,"Kings County",11205,US,"TIGER/Line® dataset from the US Census Bureau"
12,"SOUTH BEACH NEW YORK , Olympia Lounge and Club, Queens, NY",40.683113,-73.726751,1,street_center,"Southern State Pkwy",,"Rosedale, NY 11422",,"Southern State Pkwy",,,Rosedale,NY,"Queens County",11422,US,"OpenStreetMap Contributors"
13,"154 Scott Ave, Brooklyn, NY",40.711974,-73.923516,1,rooftop,"154 Scott Ave",,"Brooklyn, NY 11237",154,"Scott Ave",,,Brooklyn,NY,"Kings County",11237,US,"City of New York"
14,"Littlefield, Brooklyn, NY",40.703302,-73.980106,0.88,street_center,"Little St",,"Brooklyn, NY 11201",,"Little St",,,Brooklyn,NY,"Kings County",11201,US,"TIGER/Line® dataset from the US Census Bureau"
15,"Elsewhere, Brooklyn, NY",40.694481,-73.989319,1,place,,,"Brooklyn, NY 11201",,,,,Brooklyn,NY,"Kings County",11201,US,"TIGER/Line® dataset from the US Census Bureau"
16,"St. Paul & St. Andrew United Methodist Church, New York, NY",40.650841,-73.961918,0.89,street_center,"St Pauls Ct",,"Brooklyn, NY 11226",,"St Pauls Ct",,,Brooklyn,NY,"Kings County",11226,US,"TIGER/Line® dataset from the US Census Bureau"
17,"Harbor NYC Rooftop, New York, NY",40.629231,-74.039079,0.82,street_center,"Harbor Ln",,"Brooklyn, NY 11209",,"Harbor Ln",,,Brooklyn,NY,"Kings County",11209,US,"TIGER/Line® dataset from the US Census Bureau"
18,"Elsewhere, Brooklyn, NY",40.694481,-73.989319,1,place,,,"Brooklyn, NY 11201",,,,,Brooklyn,NY,"Kings County",11201,US,"TIGER/Line® dataset from the US Census Bureau"
20,"Elsewhere - Zone One, Brooklyn, NY",40.586726,-73.930494,0.85,street_center,"Plumb 1st St",,"Brooklyn, NY 11235",,"Plumb 1st St",,,Brooklyn,NY,"Kings County",11235,US,"TIGER/Line® dataset from the US Census Bureau"
21,"Polygon Brooklyn, Brooklyn, NY",40.637626,-73.943604,0.93,street_center,"Brooklyn Rd",,"Brooklyn, NY 11210",,"Brooklyn Rd",,,Brooklyn,NY,"Kings County",11210,US,"TIGER/Line® dataset from the US Census Bureau"
22,"99 Scott Ave, Brooklyn, NY",40.710541,-73.923165,1,rooftop,"99 Scott Ave",,"Brooklyn, NY 11237",99,"Scott Ave",,,Brooklyn,NY,"Kings County",11237,US,"City of New York"
