id,address
0,"824 Alabama Ave, Brooklyn, NY"
1,"Polygon Brooklyn, Brooklyn, NY"
2,"SOB's, New York, NY"
3,"Elsewhere - The Hall, Brooklyn, NY"
4,"The Chocolate Factory, Brooklyn, NY"
5,"PRIME143BK, Brooklyn, NY"
6,"SOB's, New York, NY"
7,"Elsewhere - The Hall, Brooklyn, NY"
8,"SOB's, New York, NY"
9,"276 Belmont Ave, Brooklyn, NY"
10,"Musica Club NYC, New York, NY"
11,"Elsewhere - The Hall, Brooklyn, NY"
12,"SOUTH BEACH NEW YORK , Olympia Lounge and Club, Queens, NY"
13,"154 Scott Ave, Brooklyn, NY"
14,"Littlefield, Brooklyn, NY"
15,"Elsewhere, Brooklyn, NY"
16,"St. Paul & St. Andrew United Methodist Church, New York, NY"
17,"Harbor NYC Rooftop, New York, NY"
18,"Elsewhere, Brooklyn, NY"
20,"Elsewhere - Zone One, Brooklyn, NY"
21,"Polygon Brooklyn, Brooklyn, NY"
22,"99 Scott Ave, Brooklyn, NY"
23,"Atolye Venue & Bar, Brooklyn, NY"
25,"Amadeus Nightclub, Queens, NY"
26,"Secret Room NYC, New York, NY"
27,"Madison Avenue Presbyterian, 921 Madison Avenue, New York, NY, USA, New York, NY"
28,"The Smith Opera House, Geneva, NY"
29,"VIRGO New York, New York, NY"
30,"littlefield, Brooklyn, NY"
31,"1819 Utica Ave, Brooklyn, NY"
32,"Skinny's Cantina On The Hudson, New York, NY"
33,"First Presbyterian Church, New York, NY"
34,"Joyface, New York, NY"
35,"Buffalo's Mohawk Place, Buffalo, NY"
36,"Polygon Brooklyn, Brooklyn, NY"
37,"Elsewhere, Brooklyn, NY"
38,"Elsewhere, Brooklyn, NY"
39,"Bentley's, Brooklyn, NY"
40,"Lark Hall, Albany, NY"
41,"Elsewhere - Zone One, Brooklyn, NY"
42,"The Club by Mr. Purple, New York, NY"
43,"DROM, New York, NY"
44,"Sugar Mouse NYC, New York, NY"
45,"Elsewhere - The Hall, Brooklyn, NY"
46,"Cafe Wha?, New York, NY"
47,"Brooklyn Museum, Brooklyn, NY"
48,"Atolye Venue & Bar, Brooklyn, NY"
49,"Amazura, Queens, NY"
50,"No Fun, Troy, NY"
51,"Elsewhere - Zone One, Brooklyn, NY"
52,"The Brooklyn Monarch, Brooklyn, NY"
53,"The Joyce Public House, New York, NY"
54,"Schomburg Center for Research in Black Culture, New York, NY"
55,"Kiss Entertainment - Best Nightclub & DJs - Queens NY, Queens, NY"
56,"The National Arts Club, New York, NY"
57,"Music For A While, New York, NY"
58,"Music For A While, New York, NY"
59,"Rye Presbyterian Church, Rye, NY"
60,"DRAMMA TIMES SQUARE, New York, NY"
61,"Elsewhere - Zone One, Brooklyn, NY"
62,"Lark Hall, Albany, NY"
63,"1055 E 45th St, Brooklyn, NY"
64,"617 W 46th St, New York, NY"
65,"Brooklyn Army Terminal, Brooklyn, NY"
66,"Elsewhere - Zone One, Brooklyn, NY"
67,"Elsewhere, Brooklyn, NY"
68,"Polygon Brooklyn, Brooklyn, NY"
69,"littlefield, Brooklyn, NY"
70,"The RnB room at Kiss Lounge (queens), Queens, NY"
71,"POLYGON BROOKLYN, Brooklyn, NY"
72,"Refuge, Brooklyn, NY"
73,"Bloomingdale School of Music, New York, NY"
74,"Adler Hall @ The New York Society For Ethical Culture, New York, NY"
75,"48 W 21st St, New York, NY"
76,"Sounds Of Brazil, New York, NY"
77,"Lark Hall, Albany, NY"
78,"Three West Club, New York, NY"
79,"Jouvay Night Club, Queens, NY"
80,"Vetro Restaurant & Lounge, Queens, NY"
81,"The Smith Opera House, Geneva, NY"
82,"1200 Broadway, New York, NY"
83,"SOB's, New York, NY"
84,"Refuge, Brooklyn, NY"
85,"79 Alexander Ave, The Bronx, NY"
86,"Trinity School, New York, NY"
87,"Isola Brooklyn, Brooklyn, NY"
88,"Jouvay Night Club, Queens, NY"
89,"St. Paul & St. Andrew United Methodist Church, New York, NY"
90,"The 443 Social Club & Lounge, Syracuse, NY"
91,"Brooklyn Conservatory of Music, Brooklyn, NY"
92,"Refuge, Brooklyn, NY"
93,"Agenda Restaurant, Queens, NY"
94,"Agenda Restaurant, Queens, NY"
95,"Amadeus Nightclub, Queens, NY"
96,"Bentley's, Brooklyn, NY"
97,"SOUTH BEACH NEW YORK , Olympia Lounge and Club, Queens, NY"
98,"Elsewhere - The Hall, Brooklyn, NY"
99,"Lark Hall, Albany, NY"
100,"The Crowne Plaza - Desmond Hotel, Albany, NY"
101,"BRIC, Brooklyn, NY"
102,"26 Bridge St, Brooklyn, NY"
103,"Architects & Designers Building (A&D Building), New York, NY"
104,"10 River Ter., New York, NY"
105,"Hyatt Regency Rochester, Rochester, NY"
106,"Carribean Flavors, Queensbury, NY"
107,"Convene, New York, NY"
108,"Houghton Hall Arts Community, New York, NY"
109,"Omni Berkshire Place, New York, NY"
110,"Convene, New York, NY"
111,"Kol Yaakov Hall, Brooklyn, NY"
112,"Nazareth University, Rochester, NY"
113,"Civic Hall, New York, NY"
114,"Fordham University at Lincoln Center, New York, NY"
116,"n/a, na, NY"
117,"Convene, New York, NY"
118,"Metropolitan Club, New York, NY"
119,"Marriott Melville Long Island, Melville, NY"
120,"Columbia University Lerner Hall, New York, NY"
121,"Westchester County Center, White Plains, NY"
122,"etc.venues 601 Lexington Avenue, New York, NY"
123,"For venue details reach us at: info@kogniora.com, New York, NY"
124,"Hofstra University, Hempstead, NY"
125,"The Mezzanine Event Space NYC - Bond Gather, New York, NY"
126,"285 Madison Ave 22nd floor, New York, NY"
127,"Cornell Tech, New York, NY"
128,"The Links at Union Vale, Lagrangeville, NY"
129,"7000 Mall Walk, Yonkers, NY"
130,"3 West Club, New York, NY"
131,"New York City Bar Association, New York, NY"
132,"Marriott Melville Long Island, Melville, NY"
133,"Dream Midtown, by Hyatt, New York, NY"
134,"The Portal - Utica, Utica, NY"
135,"630SECOND, New York, NY"
136,"Cornell Club, New York, NY"
137,"Fitness Court at Rosendale Community Center, Rosendale, NY"
138,"Jay Suites, New York, NY"
139,"Jay Suites, New York, NY"
140,"NYU Stern School of Business, New York, NY"
141,"Pratt Institute, Brooklyn, NY"
143,"The Sagamore Resort, Bolton Landing, NY"
144,"630SECOND, New York, NY"
145,"Workspace by Rockefeller Group, New York, NY"
146,"Fabrik NYC, New York, NY"
147,"New York, New York, NY"
148,"New York - Online, New York, NY"
149,"3373 Third Ave, The Bronx, NY"
150,"NYU College of Dentistry, New York, NY"
152,"NYC Conference Center at Cornell ILR, New York, NY"
159,"The Irish American Pub, New York, NY"
160,"Jay Suites, New York, NY"
161,"Buttonwood Restaurant and Bar, New York, NY"
162,"26 Bridge St, Brooklyn, NY"
163,"Bar Hugo Rooftop, New York, NY"
164,"The Ainsworth Midtown, New York, NY"
165,"Whiskey Cellar NYC, New York, NY"
166,"180 Orchard St 15th floor, New York, NY"
167,"Carribean Flavors, Queensbury, NY"
168,"St. Pat's Bar & Grill NYC, New York, NY"
169,"Whiskey Cellar NYC, New York, NY"
170,"For venue details reach us at eventbrite@mountskills.com, Yonkers, NY"
171,"The Dickens, New York, NY"
172,"Pier Sixty, New York, NY"
173,"Whiskey Cellar NYC, New York, NY"
174,"East Hampton Library - Young Adult Room, East Hampton, NY"
175,"New York, New York, NY"
176,"One World Trade Center, New York, NY"
177,"The Irish American Pub, New York, NY"
179,"The Irish American Pub, New York, NY"
180,"Regus - Buffalo - Key Center - Downtown, Buffalo, NY"
181,"Keybar, Brooklyn, NY"
182,"Ripley-Grier Studios, New York, NY"
183,"Keybar, Brooklyn, NY"
185,"The City Beer Hall, Albany, NY"
186,"New York, New York, NY"
187,"Bayport Blue Point High School, Bayport, NY"
188,"Location TBA, New York, NY"
189,"New York, New York, NY"
190,"The Parlour Room, New York, NY"
191,"Regus - Buffalo - Key Center - Downtown, Buffalo, NY"
192,"Bayport Blue Point High School, Bayport, NY"
193,"New York, New York, NY"
194,"Sewanhaka High School, Elmont, NY"
195,"The Beast Next Door, Queens, NY"
196,"New York, New York, NY"
197,"Big Ditch Brewing Company, Buffalo, NY"
198,"East Hampton Library, East Hampton, NY"
199,"Five Iron Golf, New York, NY"
200,"Verizon Executive Education Center, New York, NY"
201,"One World Trade Center, New York, NY"
202,"Locust Valley High School and Middle School, Locust Valley, NY"
203,"New York Stock Exchange, New York, NY"
204,"Royal Regency Hotel, Yonkers, NY"
205,"Harvard Club of New York City, New York, NY"
206,"SUNY Polytechnic Institute, Utica, NY"
207,"BMO Capital Markets, New York, NY"
208,"Javits Center, New York, NY"
209,"Residence Inn by Marriott New York Manhattan/Times Square, New York, NY"
210,"El Barrio Artspace PS109, New York, NY"
211,"The City College of New York, New York, NY"
212,"Whiskey Cellar NYC, New York, NY"
213,"Big Ditch Brewing Company, Buffalo, NY"
214,"Revel Restaurant & Bar, Garden City, NY"
215,"Whiskey Cellar NYC, New York, NY"
216,"The Pierre, A Taj Hotel, New York, New York, NY"
217,"Revel Restaurant & Bar, Garden City, NY"
219,"White Oak Tavern, New York, NY"
220,"Renaissance New York Midtown Hotel, New York, NY"
221,"Arlo Williamsburg, Brooklyn, NY"
222,"NYU 370 Jay Street, Brooklyn, NY"
223,"Fordham University School of Law, New York, NY"
224,"The Irish American Pub, New York, NY"
225,"Moved to Virtual Event, New York, NY"
227,"Convene, New York, NY"
228,"Pier 57, New York, NY"
229,"Mr. Purple, New York, NY"
230,"IPIC Theaters, New York, NY"
231,"New York, New York, NY"
233,"Genspace, Brooklyn, NY"
234,"Empire State Building, New York, NY"
235,"Proskauer Rose LLP, New York, NY"
236,"No Location finalized, Moving to Online, Buffalo, NY"
237,"The Beast Next Door, Queens, NY"
238,"New York, New York, NY"
240,"The Irish American Pub, New York, NY"
241,"New York, New York, NY"
242,"The Sheen Center, New York, NY"
243,"New York, New York, NY"
244,"New York, New York, NY"
245,"Wyndham Hotel, Rochester, NY"
246,"D4D Studios, New York, NY"
247,"Regus - Buffalo - Key Center - Downtown, Buffalo, NY"
248,"Whiskey Cellar NYC, New York, NY"
249,"Sugar Mouse NYC, New York, NY"
250,"Continental Sports Lounge, New York, NY"
251,"155 Chandler St, Buffalo, NY"
252,"Rochester Public Market, Rochester, NY"
253,"Arlo Williamsburg, Brooklyn, NY"
254,"Smithfield Hall NYC, New York, NY"
255,"New York, New York, NY"
256,"617 W 46th St, New York, NY"
257,"The Beast Next Door, Queens, NY"
258,"Private Conference Space (see invite for your check-in instruction), New York, NY"
262,"MJN Convention Center - Mid Hudson Civic Center, Poughkeepsie, NY"
263,"At a traffic island across street from, New York, NY"
264,"Indian Ladder Farms Cidery and Brewery, Altamont, NY"
265,"The Museum of Interesting Things Secret Speakeasy, New York, NY"
266,"The Whistling Kettle, Schenectady, NY"
267,"MAMATACO, Brooklyn, NY"
268,"MAMATACO, Brooklyn, NY"
269,"227 E 116th St, New York, NY"
270,"Eastern District, Brooklyn, NY"
271,"This Little Pig, Buffalo, NY"
272,"MAMATACO, Brooklyn, NY"
273,"Restaurant of the Night, Niagara Falls, NY"
274,"EMMA'S KITCHENS, Hartsdale, NY"
275,"Sweet Catch BK, Brooklyn, NY"
276,"MAMATACO, Brooklyn, NY"
277,"Restaurant of the Week, New York, NY"
278,"Talia, Port Chester, NY"
279,"Restaurant of the Week, Brooklyn, NY"
280,"Jetty Bar & Grill, Long Beach, NY"
281,"The Rum Bar BK, Brooklyn, NY"
285,"Ciao Evento, New York, NY"
286,"Richard's Restaurant and Bar, Brooklyn, NY"
287,"The General Riley House Speakeasy, East Aurora, NY"
288,"Rory Dolan's Restaurant & Bar, Yonkers, NY"
289,"Location provided after booking, Brooklyn, NY"
290,"Restaurant of the Week, Brooklyn, NY"
291,"Restaurant of the Week, New York, NY"
292,"Events in East williamsburg, Brooklyn, NY"
293,"Blue Bottle Coffee, New York, NY"
