id,address,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
0,"115 E 57th Street, NY",42.913397,-75.596272,1,state,,,NY,,,,,,NY,,,US,"TIGER/Line® dataset from the US Census Bureau"
2,"1460 Broadway, New York, NY",40.754954,-73.986163,1,rooftop,"1460 Broadway",,"New York, NY 10036",1460,Broadway,,,"New York",NY,"New York County",10036,US,"City of New York"
3,"IBM Atrium, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
4,"Serendipity Labs, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
5,"Spin midtown, New York, NY",40.707606,-74.010056,0.8,street_center,"Pine St",,"New York, NY 10005",,"Pine St",,,"New York",NY,"New York County",10005,US,"TIGER/Line® dataset from the US Census Bureau"
6,"The Liberty, New York, NY",40.708168,-74.00882,0.93,street_center,"Liberty St",,"New York, NY 10006",,"Liberty St",,,"New York",NY,"New York County",10006,US,"TIGER/Line® dataset from the US Census Bureau"
7,"Focal Point Beer Co, Queens, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
9,"Astronomer HQ, New York City, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
10,"Gramercy Kitchen, New York, NY",40.737791,-73.986478,0.85,street_center,"Gramercy Park S",,"New York, NY 10003",,"Gramercy Park S",,,"New York",NY,"New York County",10003,US,"TIGER/Line® dataset from the US Census Bureau"
13,"Downtown Galway Hooker, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
14,"THE CLOUD ONE LOUNGE, NEW YORK, NY",40.710421,-74.003985,0.88,street_center,"Gold St",,"New York, NY 10038",,"Gold St",,,"New York",NY,"New York County",10038,US,"TIGER/Line® dataset from the US Census Bureau"
15,"EqualSpace ES550 Tech & Innovation Campus, Newark, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
16,"Sanger Hall, Long Island City, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
