id,address
0,"115 E 57th Street, NY"
2,"1460 Broadway, New York, NY"
3,"IBM Atrium, New York, NY"
4,"Serendipity Labs, New York, NY"
5,"Spin midtown, New York, NY"
6,"The Liberty, New York, NY"
7,"Focal Point Beer Co, Queens, New York, NY"
9,"Astronomer HQ, New York City, NY"
10,"Gramercy Kitchen, New York, NY"
13,"Downtown Galway Hooker, New York, NY"
14,"THE CLOUD ONE LOUNGE, NEW YORK, NY"
15,"EqualSpace ES550 Tech & Innovation Campus, Newark, New York, NY"
16,"Sanger Hall, Long Island City, New York, NY"
17,"New York Public Library - Stephen A. Schwarzman Building, New York, NY"
18,"Beauty & Essex, New York, NY"
19,"MXV2+8H Jersey City, Jersey City, New York, NY"
20,"The Wilson @ The INNSiDE Hotel, New York, NY"
23,"Diner Bar, Queens, New York, NY"
26,"Fabrique Artisan Bakery, New York, NY"
27,"Court Square Theater, Queens County, New York, NY"
28,"Houghton Hall Arts Community, New York City, NY"
29,"11 W 19th St, New York, NY"
30,"Shipgarten, McLean, New York, NY"
33,"Hush, New York, NY"
34,"Ripley Grier Studios, New York, NY"
39,"SAINT, New York, NY"
41,"Court Square Theater, Queens County, New York, NY"
42,"Quest Bookshop, New York, NY"
46,"Seward Park Library, New York, NY"
47,"Think Coffee (6th Ave), New York, NY"
48,"Producers Club Theaters, New York, NY"
49,"Producers Club Theaters, New York, NY"
50,"1626 Broadway, New York, NY"
51,"The Charleston, Brooklyn, New York, NY"
53,"Pier 57, New York, NY"
54,"NYU/Casa Italiana Zerilli-Marimò, New York, NY"
57,"Prince Coffee House, Bronx, New York, NY"
59,"New-York Historical Society Museum & Library, New York, NY"
60,"Twist Coffee, Brooklyn, New York, NY"
61,"Squarrel Cafe, Brooklyn, New York, NY"
62,"Strong Rope Brewery, Brooklyn, New York, NY"
65,"Brooklyn Public Library-Dyker, Brooklyn, New York, NY"
67,"Karaoke at Planet Rose, New York, NY"
68,"Gansevoort Peninsula, New York, NY"
69,"Hoboken, Hoboken, New York, NY"
70,"The Green Room 42, NY"
72,"115 E 57th Street, NY"
73,"Carmines, New York, NY"
74,"Amsterdam Ale House, New York, NY"
75,"Hudson Eats, New York, NY"
76,"Big Apple Chorus, New York, NY"
80,"Essex Market, Manhattan, New York, NY"
81,"Regal Union Square, New York, NY"
82,"Central Park South & Avenue of the Americas, New York, NY"
84,"Bermibau, new york, NY"
85,"Bohemian Spirit, New York, NY"
86,"Gapstow Bridge, New York, NY"
87,"Shake Shack Meatpacking District, New York, NY"
88,"Heart of Gold, Queens, New York, NY"
91,"The Hugh, New York, NY"
96,"The Globe Bar, New York, NY"
97,"Young Ethel’s, Brooklyn, New York, NY"
98,"Central Park entrance @ Central Park South (59th St.) and 6th Ave., New York, NY"
100,"The Rock Church - Queens, Elmhurst, New York, NY"
101,"outro nyc, New York, NY"
102,"Sip & Play, Brooklyn, New York, NY"
104,"The Africa Center, New York, NY"
105,"Bethesda Terrace, New York, NY"
107,"Berry Park, NY"
110,"110 E 55th St 12th floor, New York, NY"
111,"Queen Margherita Trattoria, Nutley, New York, NY"
112,"Bar Primi Penn District, New York, NY"
113,"Squarrel Cafe, Brooklyn, New York, NY"
115,"92nd Street Y, New York, NY"
116,"The Center for Fiction, Brooklyn, New York, NY"
118,"The Sleeping Cat, New York, NY"
120,"Bedford Library, Brooklyn, New York, NY"
121,"Go Hard Dance Studio, New York, NY"
122,"Amazon Go - Brookfield Place, New York City, NY"
123,"Phebes, New York, NY"
124,"TALEA Beer Co. - Cobble Hill, Brooklyn, New York, NY"
125,"Cobblestone's Pub, Forest Hills, New York, NY"
126,"Buunni Coffee - Inwood, New York, NY"
128,"Pier 57, New York, NY"
129,"269 4th Ave, Brooklyn, New York, NY"
133,"Luliano’s, Kings County, New York, NY"
138,"Berry Park, NY"
139,"Hack Manhattan, New York, NY"
141,"Secret Restaurant Location in Midtown/Lower Manhattan/Willamsburg, New York, NY"
142,"110 E 55th St 12th floor, New York, NY"
143,"Modern Dynamic Pilates, New York, NY"
144,"Sanger Hall, Long Island City, New York, NY"
148,"Madison Square Garden, New York, NY"
149,"Bowery Road, New York, NY"
150,"The Tippler, New York, NY"
151,"The Wilson @ The INNSiDE Hotel, New York, NY"
153,"Hex & Company, New York, NY"
155,"Starbucks, New York, NY"
157,"Chelsea, New York City, NY"
158,"Chelsea Market, New York, NY"
159,"Serendipity Labs, New York, NY"
160,"The Rose, New York, NY"
161,"34 W 37th St unit 2r, New York, NY"
162,"The Perfect Pint - Eastside Location, New York, NY"
164,"Viam, new york, NY"
166,"Vesuvio Pizzeria & Restaurant, Brooklyn, New York, NY"
168,"875 Third Avenue atrium, New York, NY"
170,"167 E Broadway, New York, NY"
171,"Jefferson Market Library, Manhattan, New York, NY"
175,"Fat Cat Fab Lab, New York, NY"
178,"Hack Manhattan, New York, NY"
179,"THE DAWSON 39, Manhattan, New York, NY"
180,"New York Public Library, New York, NY"
181,"Bryant Park, New York, NY"
182,"The Uncommons, New York, NY"
183,"The Folly, New York, NY"
184,"TBD, Queens, NY, Queens"
185,"Woorjip, New York, NY"
187,"The Hugh, New York, NY"
189,"Phebes, New York, NY"
190,"Dunkin' Donuts, Queens County, New York, NY"
193,"Ben B.'s place, New York, NY"
194,"Inside GCT Entrance at 42nd St & Vanderbilt Ave, New York, NY"
195,"Flûte Midtown, New York, NY"
198,"Dive 75, New York, NY"
200,"343 Labs NYC, New York, NY"
207,"Film Forum, New York, NY"
208,"UKA OMAKASE, New York, NY"
209,"New York Transit Museum, Brooklyn, NY"
210,"Industry Bar NYC, New York, NY"
211,"La Grande Boucherie, New York, NY"
212,"Squarrel Cafe, Brooklyn, New York, NY"
213,"Tavern On the Green, New York, NY"
215,"Inside GCT Entrance at 42nd St & Vanderbilt Ave, New York, NY"
216,"318 3rd Ave, New York, NY"
218,"Pier 57, New York, NY"
219,"Valhalla NYC, New York, NY"
220,"MoMA, New York, NY"
224,"Spicy moon bowery, New York City, NY"
225,"Michiko Rehearsal Studios, New York, NY"
228,"Museum at FIT, New York, NY"
230,"42nd Street & Broadway, New York, NY"
231,"Inca Paisa, Queens County, New York, NY"
232,"Community Center, New York, NY"
233,"The Hugh, New York, NY"
236,"Mount Vernon Hotel Museum & Garden, New York, NY"
237,"Metropolitan Museum of Art, New York, NY"
239,"The Half Pint / Ernie's Bar, New York, NY"
241,"The Rose, New York, NY"
242,"Location to be announced to all who RSVP, Manhattan, New York, NY"
243,"Crea8ive locations, New york, NY"
244,"Ideal Glass Studios, New York, NY"
245,"The Museum at FIT, New York, NY"
246,"447 Broadway, New York, NY"
247,"Astoria Park Track, Astoria, New York, NY"
248,"16 W 61st St, Manhattan, NY 10023, Manhattan"
253,"Lulla, New York, NY"
255,"Uncle Charlie's, New York, NY"
256,"Le Baratin, New York, NY"
257,"The Yard: Herald Square, New York, NY"
258,"Sour Mouse, Manhattan, New York, NY"
259,"Hack Manhattan, New York, NY"
