id,address,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
0,"Stage, Hunts Point Recreation Center, 765 Manida Street, Bronx, NY, Bronx",40.815,-73.889071,1,rooftop,"765 Manida St",,"Bronx, NY 10474",765,"Manida St",,,Bronx,NY,"Bronx County",10474,US,"City of New York"
1,"United Nations Ave South Entrance, Flushing Meadows Corona Park, Grand Central Pkwy, Van Wyck Exwy, Queens, NY",40.744419,-73.844695,1,street_center,"United Nations Ave S",,"Corona, NY 11368",,"United Nations Ave S",,,Corona,NY,"Queens County",11368,US,"TIGER/Line® dataset from the US Census Bureau"
2,"Multi-Use Room, Greenbelt Recreation Center, 501 Brielle Avenue, Staten Island, NY",40.591722,-74.139209,1,rooftop,"501 Brielle Ave",,"Staten Island, NY 10314",501,"Brielle Ave",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
3,"Multipurpose Room, Betsy Head Park, Blake Ave., Dumont Ave. bet. Thomas Boyland St. and Bristol St. , Brooklyn, NY",40.653302,-73.908472,1,street_center,"Bristol St",,"Brooklyn, NY 11236",,"Bristol St",,,Brooklyn,NY,"Kings County",11236,US,"TIGER/Line® dataset from the US Census Bureau"
4,"Athletic Courts, Torsney Playground, Skillman Ave. bet. 41 St. and 43 St., Queens, NY",40.767607,-73.908661,1,street_center,"43rd St",,"Astoria, NY 11103",,"43rd St",,,Astoria,NY,"Queens County",11103,US,"TIGER/Line® dataset from the US Census Bureau"
5,"Buddy Monument, Forest Park, Park Lane South and Myrtle Avenue, Queens, NY",40.745263,-73.711159,1,place,,,"Queens, NY 11004",,,,,Queens,NY,"Queens County",11004,US,"TIGER/Line® dataset from the US Census Bureau"
6,"Kissena Park, Underhill, Oak, Rose, Booth Memorial Aves, Kissena Blvd, Fresh Meadow Ln, Queens, NY",40.666097,-73.769609,1,street_center,"Meadow Dr",,"Jamaica, NY 11434",,"Meadow Dr",,,Jamaica,NY,"Queens County",11434,US,"TIGER/Line® dataset from the US Census Bureau"
7,"Dance Room, Highbridge Recreation Center, 2301 Amsterdam Avenue, Manhattan, NY",40.842852,-73.934363,1,rooftop,"2301 Amsterdam Ave",,"New York, NY 10033",2301,"Amsterdam Ave",,,"New York",NY,"New York County",10033,US,"City of New York"
8,"Alley Pond Adventure Course, Alley Pond Park, Little Neck Bay to Springfield Blvd, Union Tpke, Queens, NY",40.753779,-73.820723,0.9,street_center,"Union St",,"Flushing, NY 11355",,"Union St",,,Flushing,NY,"Queens County",11355,US,"TIGER/Line® dataset from the US Census Bureau"
9,"Staten Island Boulevard and Shields Place, Deere Park, Richmond Pkwy., Ocean Terr., Tiber Pl., Staten Island Blvd., Staten Island, NY",40.607258,-74.102814,1,street_center,"Staten Island Blvd",,"Staten Island, NY 10301",,"Staten Island Blvd",,,"Staten Island",NY,"Richmond County",10301,US,"TIGER/Line® dataset from the US Census Bureau"
