id,address
0,"Stage, Hunts Point Recreation Center, 765 Manida Street, Bronx, NY, Bronx"
1,"United Nations Ave South Entrance, Flushing Meadows Corona Park, Grand Central Pkwy, Van Wyck Exwy, Queens, NY"
2,"Multi-Use Room, Greenbelt Recreation Center, 501 Brielle Avenue, Staten Island, NY"
3,"Multipurpose Room, Betsy Head Park, Blake Ave., Dumont Ave. bet. Thomas Boyland St. and Bristol St. , Brooklyn, NY"
4,"Athletic Courts, Torsney Playground, Skillman Ave. bet. 41 St. and 43 St., Queens, NY"
5,"Buddy Monument, Forest Park, Park Lane South and Myrtle Avenue, Queens, NY"
6,"Kissena Park, Underhill, Oak, Rose, Booth Memorial Aves, Kissena Blvd, Fresh Meadow Ln, Queens, NY"
7,"Dance Room, Highbridge Recreation Center, 2301 Amsterdam Avenue, Manhattan, NY"
8,"Alley Pond Adventure Course, Alley Pond Park, Little Neck Bay to Springfield Blvd, Union Tpke, Queens, NY"
9,"Staten Island Boulevard and Shields Place, Deere Park, Richmond Pkwy., Ocean Terr., Tiber Pl., Staten Island Blvd., Staten Island, NY"
10,"Salt Marsh Nature Center, Marine Park, 3301 Avenue U, Brooklyn, NY"
11,"Van Cortlandt Nature Center, Van Cortlandt Park, Broadway, Jerome Ave,City Line,Van Cortlandt Pk S, Bronx, NY"
12,"Multi-Use Room A, Pelham Fritz Recreation Center, 18 Mount Morris Park West, Manhattan, NY"
13,"Ryan Health- Chelsea Clinton Community Health Center, 645 10th Ave, New York, NY 10036, Manhattan"
14,"NYC Department of Health and Mental Hygiene- East Harlem Neighborhood Health Action Center, 158 E 115th st New York, New York United States, 10029, Manhattan"
15,"Gymnasium (Full), Kwame Ture Recreation Center, 1527 Jesup Avenue, Bronx, NY"
16,"Merchant's House Museum, 29 East 4th Street, Manhattan, NY"
18,"Gymnasium, Rev. T. Wendell Foster Park and Recreation Center, Jerome Av to River Av bet. E 164 St and McClellan St at Cromwell Ave , Bronx, NY"
19,"Seaman Avenue and Isham Street Entrance, Inwood Hill Park, Dyckman St, Hudson River, Harlem River S, Manhattan, NY"
20,"Entrance to John Golden Park, 215th Place and 33rd Ave, Queens, NY"
21,"Westerleigh Park, Willard Ave., Springfield Ave., Maine Ave., Neal Dow Ave. , Staten Island, NY"
22,"Multi-Use Room, Greenbelt Recreation Center, 501 Brielle Avenue, Staten Island, NY"
23,"Gymnasium (Court), Al Oerter Recreation Center, 131-40 Fowler Ave., Queens, NY"
24,"St. Mary's Annual 5K Start, East 149th and Eagle Ave, Bronx, NY"
25,"Entrance - Lafayette Avenue and Morrison Avenue, Soundview Park, Bronx River, Bronx River Ave. bet. Lafayette Ave., Surf Dr. , Bronx, NY"
26,"Lawn Near 79th Street Entrance, Shore Park and Parkway, 4 Ave., Shore Rd., Belt Pkwy., Verrazano Bridge, Brooklyn, NY"
27,"Elton Street and Jamaica Avenue, Highland Park, Highland Blvd, Jamaica Ave, Jackie Robinson Pkwy, Queens, NY"
28,"Canarsie Park House, 88th Street and Seaview Avenue, Brooklyn, NY"
29,"Baisley Pond Park House, Rockaway & Sutphin Boulevards, Queens, NY"
30,"Astoria Park, Queens, NY"
31,"Monsignor McGolrick Park, Msgr. McGolrick Park, Russell St., Monitor St. bet. Nassau Ave. and Driggs Ave., Brooklyn, NY"
32,"Queens Community House Beacon @ PS 149, 93-11 34th Ave, Queens, NY"
33,"Pier 35, East River Waterfront Esplanade, Rutgers Slip and South St, Manhattan, NY"
34,"Arthur Kill Road and Brookfield Avenue, Brookfield Park, Arthur Kill Rd. bet. Richmond Ave. and New Vale Ave., Staten Island, NY"
35,"Gymnasium, Highbridge Recreation Center, 2301 Amsterdam Avenue, Manhattan, NY"
36,"Leif Ericson Park, 67 St., 66 St. bet. 4 Ave. and Ft. Hamilton Pkwy., Brooklyn, NY"
37,"Poe Park, Grand Concourse bet. E. 192 St. and E. K, Bronx, NY"
38,"Gymnasium, St. John’s Recreation Center, 1251 Prospect Place, Brooklyn, NY"
39,"Queens Public Library - Cambria Heights, 218-13 Linden Blvd, Queens, NY 11411"
40,"BPL- Macon Library, 361 Lewis Avenue, Brooklyn, Brooklyn, NY"
41,"Brooklyn Public Library - New Utrecht, 1743 86th Street, New York, NY"
42,"Rock Climbing Wall Room, Gertrude Ederle Recreation Center, 232 W. 60th St., Manhattan, NY"
43,"BronxWorks - Classic Community Center, 286 East 156th Street, Bronx, NY"
44,"Queens Public Library - Far Rockaway, 1637 Central Ave Far Rockaway, New York, 11691"
45,"BronxWorks - Classic Community Center, 286 East 156th Street, Bronx, NY"
46,"Almira Kennedy Coursey Amphitheatre, Herbert Von King Park, Marcy Ave., Tompkins Ave., bet. Greene Ave. and Lafayette Ave., Brooklyn, NY"
47,"NYPL - Tompkins Square Library, 331 East 10th Street (btw Aves A&B), Manhattan, NY"
48,"Dance Room, Chelsea Recreation Center, 430 W. 25th Street, Manhattan, NY"
49,"Ballroom, Fort Hamilton Senior Recreation Center, 9941 Fort Hamilton Parkway, Brooklyn, NY"
50,"Brooklyn Public Library - Marcy, 617 Dekalb Avenue, Brooklyn, NY 11216, Brooklyn"
51,"Multi-Use Room B, Pelham Fritz Recreation Center, 18 Mount Morris Park West, Manhattan, NY"
52,"Rochdale Village Community Center, 169-65 137th Ave, Jamaica, NY 11434"
53,"West 218th Street and Indian Road, Inwood Hill Park, Dyckman St, Hudson River, Harlem River S, Manhattan, NY"
54,"Raoul Wallenberg Playground, Highbridge Park, Amsterdam Avenue between W 189 St. and Laurel Hill Terrace, Manhattan, NY"
55,"Broadway and Mosholu Avenue, Van Cortlandt Park, Broadway, Jerome Ave,City Line,Van Cortlandt Pk S, Bronx, NY"
56,"Conference House Park, Pittsville St., Hylan Blvd. Richard Ave., Staten Island, NY"
57,"Cunningham Park Parking Lot, Union Turnpike and 197th Street, Queens, NY"
58,"Carmine Carro Community Center, Marine Park, 3000 Fillmore Ave, Brooklyn, NY"
59,"McKinley Park, 73 St., Ft. Hamilton Pkwy., 7 Ave., Brooklyn, NY"
60,"Sunset Park Recreation Center, 4200 7th Avenue, Brooklyn, NY"
61,"Fort Greene Park Visitor Center, Myrtle Ave., De Kalb Ave. bet. Washington Park and St. Edward's St., Brooklyn, NY"
62,"Potamogeton Pond, Grand Central Parkway, Queens, NY"
63,"Ewen Park Dog Run, Johnson Av, W 232 St, Riverdale Av, Bronx, NY"
64,"Raoul Wallenberg Playground, Highbridge Park, Amsterdam Avenue between W 189 St. and Laurel Hill Terrace, Manhattan, NY"
65,"Merchant's House Museum, 29 East 4th Street, Manhattan, NY"
66,"Brust Park, Manhattan College Pkwy, Dash Pl, Greysto, Bronx, NY"
67,"Multipurpose Room, Betsy Head Park, Blake Ave., Dumont Ave. bet. Thomas Boyland St. and Bristol St. , Brooklyn, NY"
68,"Athletic Courts, Torsney Playground, Skillman Ave. bet. 41 St. and 43 St., Queens, NY"
69,"New Settlement Community Center, 1501 Jerome Avenue, Bronx, NY"
70,"New York Public Library - Morningside Heights Branch, 2900 Broadway New York, New York United States, 10025, Manhattan"
71,"Stuyvesant Square, Rutherford Pl. To N D Perlman Pl., E 15 St. To E 17 St. , Manhattan, NY"
72,"New Settlement Community Center, 1501 Jerome Avenue, Bronx, NY"
73,"Sunnyside Community Services, 43-31 39th St, Queens, NY"
74,"Queens Public Library - Bayside, 214-20 Northern Blvd Bayside, New York United States, 11361, Queens"
75,"Brooklyn Public Library - Kings Highway Branch, 2115 Ocean Ave Brooklyn, New York United States, 11229"
76,"Multi-Use Room, Williamsbridge Oval Recreation Center, 3225 Reservoir Oval East, Bronx, NY"
77,"Queens Public Library - Corona, 38-23 104th St., Corona, NY 11368, Queens"
78,"NYPL - Eastchester Library, 1385 Gun Hill Road, Bronx, NY"
79,"Dance Room, Highbridge Recreation Center, 2301 Amsterdam Avenue, Manhattan, NY"
80,"NYPL - Hamilton Grange Library, 503 West 145th Street New York, New York United States, 10031, Manhattan"
81,"PS 503/PS 506 Beacon - Center for Family Life, 333 60th Street Brooklyn, New York, 11220"
82,"Multi-Use Room, Asser Levy Recreation Center, 392 Asser Levy Place, Manhattan, NY"
83,"Ryan Health- Chelsea Clinton Community Health Center, 645 10th Ave, New York, NY 10036, Manhattan"
84,"Fort Totten Park-Building 422 - NE Queens Headquarters, 422 Weaver Ave, Fort Totten, NY 11359, Queens"
85,"Bartow Community Center - Room 31, 2049 Bartow Avenue, Bronx, NY"
86,"Multi-Use Room C, McCarren Play Center, 776 Lorimer Street, Brooklyn, NY"
87,"Dance Room, Gertrude Ederle Recreation Center, 232 W. 60th St., Manhattan, NY"
89,"Gymnasium, St. John’s Recreation Center, 1251 Prospect Place, Brooklyn, NY"
90,"Sunnyside Community Services, 43-31 39th St, Queens, NY"
91,"Bronx River Forest at Burke Bridge, Bronx Park, Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St, Bronx, NY"
92,"Dance Room, Highbridge Recreation Center, 2301 Amsterdam Avenue, Manhattan, NY"
93,"Sunset Park Recreation Center, 4200 7th Avenue, Brooklyn, NY"
94,"Queensbridge Park House, Queensboro Bridge, 41 Rd., 40 Ave. bet. The East River, Vernon Blvd., and 21 St., Queens, NY"
95,"Ralph Bunche Park, 1 Ave., bet. E. 42 St. and E. 43 St., Manhattan, NY"
96,"Multi-Use Room, Williamsbridge Oval Recreation Center, 3225 Reservoir Oval East, Bronx, NY"
97,"Queens Public Library - Ozone Park, 92-24 Rockaway Blvd Queens, NY, 11417"
98,"NYPL- Bloomingdale Library, 150 West 100th Street, Manhattan, NY"
