id,address
0,"Madison Square Park, New York, NY"
1,"Central Park, New York, NY"
2,"Randall's Island Park, New York, NY"
3,"Gen. Douglas MacArthur Park, New York, NY"
4,"Sara D. Roosevelt Park, New York, NY"
5,"Gen. Douglas MacArthur Park, New York, NY"
6,"Randall's Island Park, New York, NY"
7,"Hawkins Park, New York, NY"
8,"Kissena Park, New York, NY"
10,"Flushing Meadows Corona Park, New York, NY"
11,"Randall's Island Park, New York, NY"
12,"Father Duffy Square, New York, NY"
13,"Shore Road Park and Parkway, New York, NY"
14,"Sara D. Roosevelt Park, New York, NY"
16,"Space Time Playground, New York, NY"
17,"Central Park, New York, NY"
18,"Central Park, New York, NY"
19,"East River Park, New York, NY"
20,"East River Park, New York, NY"
21,"Parade Ground, New York, NY"
22,"Damrosch Park, New York, NY"
23,"Randall's Island Park, New York, NY"
24,"Central Park, New York, NY"
25,"Randall's Island Park, New York, NY"
26,"Central Park, New York, NY"
27,"Alley Pond Park, New York, NY"
28,"Calvert Vaux Park, New York, NY"
29,"WEST   46 STREET between 7 AVENUE and 6 AVENUE, New York, NY"
30,"Sara D. Roosevelt Park, New York, NY"
31,"Fairview Park, New York, NY"
32,"LEXINGTON AVENUE between EAST   60 STREET and EAST   59 STREET, New York, NY"
33,"Chelsea Park, New York, NY"
34,"Stop & Go Playground, New York, NY"
35,"Central Park, New York, NY"
36,"Sara D. Roosevelt Park, New York, NY"
37,"Red Hook Recreation Area, New York, NY"
38,"Stuyvesant Square, New York, NY"
39,"Marx Brothers Playground, New York, NY"
40,"Cunningham Park, New York, NY"
41,"West Playground, New York, NY"
42,"Bushwick Inlet Park, New York, NY"
43,"Madison Square Park, New York, NY"
44,"Columbus Park, New York, NY"
46,"De Witt Clinton Park, New York, NY"
47,"Union Square Park, New York, NY"
48,"550 WEST  155 STREET, New York, NY"
49,"Sunset Park, New York, NY"
50,"Union Square Park, New York, NY"
51,"Central Park, New York, NY"
53,"Frank Principe Park / Maurice Park, New York, NY"
55,"Central Park, New York, NY"
56,"Flushing Meadows Corona Park, New York, NY"
57,"Prospect Park, New York, NY"
58,"Central Park, New York, NY"
59,"West Playground, New York, NY"
60,"McCarren Park, New York, NY"
61,"Central Park, New York, NY"
62,"Randall's Island Park, New York, NY"
63,"Helen Marshall Playground, New York, NY"
64,"Madison Square Park, New York, NY"
65,"Marcus Garvey Park, New York, NY"
66,"Frank Principe Park / Maurice Park, New York, NY"
67,"Randall's Island Park, New York, NY"
68,"Bushwick Inlet Park, New York, NY"
70,"Bowling Green, New York, NY"
71,"East River Park, New York, NY"
72,"Bush Terminal Park, New York, NY"
73,"Bella Abzug Park, New York, NY"
74,"Sunset Park, New York, NY"
77,"Linden Park (Gershwin Park - JHS 166), New York, NY"
78,"Astoria Park, New York, NY"
79,"EAST  141 STREET between BRUCKNER BOULEVARD and WALNUT AVENUE, New York, NY"
80,"Forest Park, New York, NY"
81,"Inwood Hill Park, New York, NY"
82,"Sara D. Roosevelt Park, New York, NY"
83,"Bushwick Playground, New York, NY"
85,"EAST   82 STREET between 1 AVENUE and YORK AVENUE, New York, NY"
86,"Parade Ground, New York, NY"
87,"Helen Marshall Playground, New York, NY"
89,"Bushwick Inlet Park, New York, NY"
90,"Madison Square Park, New York, NY"
92,"Flushing Meadows Corona Park, New York, NY"
93,"Randall's Island Park, New York, NY"
94,"Jackie Robinson Park, New York, NY"
95,"Lou Gehrig Plaza, New York, NY"
96,"Coffey Park, New York, NY"
97,"BLEEKER STREET between CARMINE STREET and LEROY STREET, New York, NY"
99,"Leif Ericson Park, New York, NY"
100,"Calvert Vaux Park, New York, NY"
101,"Central Park, New York, NY"
102,"Calvert Vaux Park, New York, NY"
103,"Fairview Park, New York, NY"
104,"Fairview Park, New York, NY"
105,"Riverside Park, New York, NY"
106,"Blood Root Valley, New York, NY"
107,"Highland Park, New York, NY"
108,"Peter's Field, New York, NY"
109,"Booker T. Washington Playground, New York, NY"
110,"BLEEKER STREET between CARMINE STREET and LEROY STREET, New York, NY"
111,"Astoria Park, New York, NY"
112,"Kennedy Playground /Raymond O'Connor, New York, NY"
113,"Pier 42, New York, NY"
115,"Frank Principe Park / Maurice Park, New York, NY"
118,"Bloomingdale Park, New York, NY"
119,"James J Walker Park, New York, NY"
122,"Central Park, New York, NY"
123,"Prospect Park, New York, NY"
124,"Randall's Island Park, New York, NY"
126,"Kissena Park, New York, NY"
127,"Inwood Hill Park, New York, NY"
128,"Queensbridge Park, New York, NY"
129,"Hamilton Metz Field, New York, NY"
130,"Seth Low Playground, New York, NY"
131,"Queensbridge Park, New York, NY"
132,"Playground Ninety, New York, NY"
133,"Flushing Meadows Corona Park, New York, NY"
134,"Bloomingdale Park, New York, NY"
135,"33rd Street Plaza, New York, NY"
136,"Frederick Douglass Playground, New York, NY"
137,"St. Michael's Playground, New York, NY"
